          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0054    0.0054 |
    1.000     1     2 |    0.0002    0.0056 |
    2.000     1     3 |    0.0010    0.0066 |
    3.000     1     4 |    0.0009    0.0075 |
    4.000     1     5 |    0.0010    0.0085 |
    5.000     1     6 |    0.0002    0.0087 |
    6.000     1     7 |    0.0002    0.0088 |
    7.000     1     8 |    0.0002    0.0090 |
    8.000     1     9 |    0.0002    0.0092 |
    9.000     1    10 |    0.0009    0.0101 |
   10.000     1    11 |    0.0002    0.0102 |
   11.000     1    12 |    0.0002    0.0104 |
   12.000     1    13 |    0.0015    0.0119 |
   13.000     1    14 |    0.0002    0.0121 |
   14.000     1    15 |    0.0002    0.0123 |
   15.000     1    16 |    0.0002    0.0124 |
   16.000     1    17 |    0.0002    0.0126 |
   17.000     1    18 |    0.0002    0.0128 |
   18.000     1    19 |    0.0001    0.0129 |
   19.000     1    20 |    0.0010    0.0139 |
   20.000     1    21 |    0.0001    0.0141 |
   21.000     1    22 |    0.0002    0.0143 |
   22.000     1    23 |    0.0002    0.0144 |
   23.000     1    24 |    0.0002    0.0146 |
   24.000     1    25 |    0.0002    0.0148 |
   25.000     1    26 |    0.0002    0.0150 |
   26.000     1    27 |    0.0002    0.0151 |
   27.000     1    28 |    0.0002    0.0153 |
   28.000     1    29 |    0.0002    0.0154 |
   29.000     1    30 |    0.0002    0.0156 |
   30.000     1    31 |    0.0002    0.0158 |
   31.000     1    32 |    0.0001    0.0159 |
   32.000     1    33 |    0.0002    0.0161 |
   33.000     1    34 |    0.0002    0.0163 |
   34.000     1    35 |    0.0002    0.0164 |
   35.000     1    36 |    0.0004    0.0169 |
   36.000     1    37 |    0.0002    0.0171 |
   37.000     1    38 |    0.0003    0.0173 |
   38.000     1    39 |    0.0003    0.0177 |
   39.000     1    40 |    0.0002    0.0179 |
   40.000     1    41 |    0.0004    0.0183 |
   41.000     1    42 |    0.0003    0.0186 |
   42.000     1    43 |    0.0002    0.0189 |
   43.000     1    44 |    0.0006    0.0194 |
   44.000     1    45 |    0.0002    0.0196 |
   45.000     1    46 |    0.0002    0.0198 |
   46.000     1    47 |    0.0002    0.0200 |
   47.000     1    48 |    0.0002    0.0202 |
   48.000     1    49 |    0.0010    0.0211 |
   49.000     1    50 |    0.0002    0.0213 |
   50.000     1    51 |    0.0010    0.0223 |
   51.000     1    52 |    0.0001    0.0225 |
   52.000     1    53 |    0.0011    0.0236 |
   53.000     1    54 |    0.0014    0.0250 |
   54.000     1    55 |    0.0002    0.0252 |
   55.000     1    56 |    0.0009    0.0261 |
   56.000     1    57 |    0.0002    0.0263 |
   57.000     1    58 |    0.0009    0.0272 |
   58.000     1    59 |    0.0001    0.0273 |
   59.000     1    60 |    0.0002    0.0275 |
   60.000     1    61 |    0.0007    0.0282 |
   61.000     1    62 |    0.0011    0.0293 |
   62.000     1    63 |    0.0015    0.0308 |
   63.000     1    64 |    0.0011    0.0320 |
   64.000     1    65 |    0.0006    0.0326 |
   65.000     1    66 |    0.0001    0.0327 |
   66.000     1    67 |    0.0009    0.0337 |
   67.000     1    68 |    0.0012    0.0348 |
   68.000     1    69 |    0.0002    0.0350 |
   69.000     1    70 |    0.0001    0.0351 |
   70.000     1    71 |    0.0012    0.0363 |
   71.000     1    72 |    0.0009    0.0372 |
   72.000     1    73 |    0.0012    0.0384 |
   73.000     1    74 |    0.0006    0.0391 |
   74.000     1    75 |    0.0010    0.0401 |
   75.000     1    76 |    0.0004    0.0405 |
   76.000     1    77 |    0.0004    0.0409 |
   77.000     1    78 |    0.0006    0.0415 |
   78.000     1    79 |    0.0004    0.0418 |
   79.000     1    80 |    0.0004    0.0423 |
   80.000     1    81 |    0.0001    0.0424 |
   81.000     1    82 |    0.0010    0.0434 |
   82.000     1    83 |    0.0014    0.0447 |
   83.000     1    84 |    0.0002    0.0449 |
   84.000     1    85 |    0.0007    0.0456 |
   85.000     1    86 |    0.0002    0.0458 |
   86.000     1    87 |    0.0008    0.0466 |
   87.000     1    88 |    0.0010    0.0475 |
   88.000     1    89 |    0.0012    0.0487 |
   89.000     1    90 |    0.0001    0.0488 |
   90.000     1    91 |    0.0010    0.0498 |
   91.000     1    92 |    0.0009    0.0508 |
   92.000     1    93 |    0.0010    0.0517 |
   93.000     1    94 |    0.0009    0.0527 |
   94.000     1    95 |    0.0002    0.0528 |
   95.000     1    96 |    0.0009    0.0538 |
   96.000     1    97 |    0.0002    0.0539 |
   97.000     1    98 |    0.0002    0.0541 |
   98.000     1    99 |    0.0001    0.0542 |
   99.000     1   100 |    0.0002    0.0544 |
  100.000     1   101 |    0.0012    0.0556 |
  101.000     1   102 |    0.0016    0.0571 |
  102.000     1   103 |    0.0009    0.0581 |
  103.000     1   104 |    0.0010    0.0591 |
  104.000     1   105 |    0.0010    0.0600 |
  105.000     1   106 |    0.0014    0.0614 |
  106.000     1   107 |    0.0002    0.0616 |
  107.000     1   108 |    0.0009    0.0625 |
  108.000     1   109 |    0.0011    0.0637 |
  109.000     1   110 |    0.0002    0.0638 |
  110.000     1   111 |    0.0002    0.0640 |
  111.000     1   112 |    0.0001    0.0641 |
  112.000     1   113 |    0.0009    0.0651 |
  113.000     1   114 |    0.0002    0.0652 |
  114.000     1   115 |    0.0014    0.0666 |
  115.000     1   116 |    0.0029    0.0695 |
  116.000     1   117 |    0.0002    0.0696 |
  117.000     1   118 |    0.0002    0.0698 |
  118.000     1   119 |    0.0011    0.0709 |
  119.000     1   120 |    0.0004    0.0713 |
  120.000     1   121 |    0.0009    0.0722 |
  121.000     1   122 |    0.0002    0.0724 |
  122.000     1   123 |    0.0002    0.0726 |
  123.000     1   124 |    0.0002    0.0727 |
  124.000     1   125 |    0.0002    0.0729 |
  125.000     1   126 |    0.0002    0.0731 |
  126.000     1   127 |    0.0002    0.0733 |
  127.000     1   128 |    0.0002    0.0735 |
  128.000     1   129 |    0.0009    0.0744 |
  129.000     1   130 |    0.0001    0.0745 |
  130.000     1   131 |    0.0002    0.0747 |
  131.000     1   132 |    0.0002    0.0749 |
  132.000     1   133 |    0.0002    0.0750 |
  133.000     1   134 |    0.0002    0.0752 |
  134.000     1   135 |    0.0002    0.0754 |
  135.000     1   136 |    0.0002    0.0755 |
  136.000     1   137 |    0.0002    0.0757 |
  137.000     1   138 |    0.0002    0.0759 |
  138.000     1   139 |    0.0002    0.0760 |
  139.000     1   140 |    0.0002    0.0762 |
  140.000     1   141 |    0.0010    0.0772 |
  141.000     1   142 |    0.0002    0.0774 |
  142.000     1   143 |    0.0002    0.0775 |
  143.000     1   144 |    0.0009    0.0785 |
  144.000     1   145 |    0.0010    0.0794 |
  145.000     1   146 |    0.0010    0.0804 |
