          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0003    0.0003 |
    1.000   100   101 |    0.0036    0.0038 |
    2.000   100   201 |    0.0036    0.0074 |
    3.000   100   301 |    0.0036    0.0110 |
    4.000   100   401 |    0.0036    0.0145 |
    5.000   100   501 |    0.0036    0.0181 |
    6.000   100   601 |    0.0035    0.0217 |
    7.000   100   701 |    0.0036    0.0252 |
    8.000   100   801 |    0.0036    0.0288 |
    9.000   100   901 |    0.0036    0.0324 |
   10.000   100  1001 |    0.0035    0.0360 |
   11.000   100  1101 |    0.0036    0.0396 |
   12.000   100  1201 |    0.0036    0.0431 |
   13.000   100  1301 |    0.0036    0.0467 |
   14.000   100  1401 |    0.0036    0.0503 |
   15.000   100  1501 |    0.0035    0.0539 |
   16.000   100  1601 |    0.0035    0.0574 |
   17.000   100  1701 |    0.0036    0.0610 |
   18.000   100  1801 |    0.0036    0.0646 |
   19.000   100  1901 |    0.0036    0.0682 |
   20.000   100  2001 |    0.0036    0.0718 |
   21.000   100  2101 |    0.0036    0.0754 |
   22.000   100  2201 |    0.0036    0.0790 |
   23.000   100  2301 |    0.0037    0.0826 |
   24.000   100  2401 |    0.0036    0.0862 |
   25.000   100  2501 |    0.0036    0.0898 |
   26.000   100  2601 |    0.0036    0.0935 |
   27.000   100  2701 |    0.0036    0.0971 |
   28.000   100  2801 |    0.0037    0.1008 |
   29.000   100  2901 |    0.0037    0.1044 |
   30.000   100  3001 |    0.0036    0.1081 |
   31.000   100  3101 |    0.0036    0.1117 |
   32.000   100  3201 |    0.0036    0.1153 |
   33.000   100  3301 |    0.0036    0.1189 |
   34.000   100  3401 |    0.0036    0.1225 |
   35.000   100  3501 |    0.0038    0.1263 |
   36.000   100  3601 |    0.0039    0.1302 |
   37.000   100  3701 |    0.0039    0.1341 |
   38.000   100  3801 |    0.0039    0.1380 |
   39.000   100  3901 |    0.0039    0.1418 |
   40.000   100  4001 |    0.0039    0.1458 |
   41.000   100  4101 |    0.0039    0.1496 |
   42.000   100  4201 |    0.0038    0.1535 |
   43.000   100  4301 |    0.0039    0.1574 |
   44.000   100  4401 |    0.0038    0.1611 |
   45.000   100  4501 |    0.0037    0.1648 |
   46.000   100  4601 |    0.0036    0.1684 |
   47.000   100  4701 |    0.0036    0.1721 |
   48.000   100  4801 |    0.0036    0.1757 |
   49.000   100  4901 |    0.0037    0.1794 |
   50.000   100  5001 |    0.0037    0.1830 |
   51.000   100  5101 |    0.0036    0.1866 |
   52.000   100  5201 |    0.0036    0.1903 |
   53.000   100  5301 |    0.0036    0.1939 |
   54.000   100  5401 |    0.0037    0.1976 |
   55.000   100  5501 |    0.0037    0.2012 |
   56.000   100  5601 |    0.0036    0.2049 |
   57.000   100  5701 |    0.0036    0.2085 |
   58.000   100  5801 |    0.0036    0.2121 |
   59.000   100  5901 |    0.0037    0.2158 |
   60.000   100  6001 |    0.0037    0.2195 |
   61.000   100  6101 |    0.0036    0.2232 |
   62.000   100  6201 |    0.0037    0.2269 |
   63.000   100  6301 |    0.0037    0.2305 |
   64.000   100  6401 |    0.0037    0.2342 |
   65.000   100  6501 |    0.0037    0.2378 |
   66.000   100  6601 |    0.0036    0.2415 |
   67.000   100  6701 |    0.0037    0.2451 |
   68.000   100  6801 |    0.0036    0.2487 |
   69.000   100  6901 |    0.0037    0.2524 |
   70.000   100  7001 |    0.0036    0.2560 |
   71.000   100  7101 |    0.0037    0.2597 |
   72.000   100  7201 |    0.0036    0.2633 |
   73.000   100  7301 |    0.0037    0.2670 |
   74.000   100  7401 |    0.0037    0.2707 |
   75.000   100  7501 |    0.0037    0.2744 |
   76.000   100  7601 |    0.0037    0.2781 |
   77.000   100  7701 |    0.0037    0.2818 |
   78.000   100  7801 |    0.0037    0.2855 |
   79.000   100  7901 |    0.0037    0.2891 |
   80.000   100  8001 |    0.0037    0.2928 |
   81.000   100  8101 |    0.0037    0.2965 |
   82.000   100  8201 |    0.0037    0.3001 |
   83.000   100  8301 |    0.0037    0.3038 |
   84.000   100  8401 |    0.0038    0.3076 |
   85.000   100  8501 |    0.0037    0.3113 |
   86.000   100  8601 |    0.0037    0.3150 |
   87.000   100  8701 |    0.0037    0.3186 |
   88.000   100  8801 |    0.0037    0.3223 |
   89.000   100  8901 |    0.0037    0.3260 |
   90.000   100  9001 |    0.0038    0.3297 |
   91.000   100  9101 |    0.0037    0.3334 |
   92.000   100  9201 |    0.0037    0.3371 |
   93.000   100  9301 |    0.0037    0.3408 |
   94.000   100  9401 |    0.0037    0.3445 |
   95.000   100  9501 |    0.0037    0.3482 |
   96.000   100  9601 |    0.0038    0.3519 |
   97.000   100  9701 |    0.0037    0.3557 |
   98.000   100  9801 |    0.0037    0.3594 |
   99.000   100  9901 |    0.0037    0.3631 |
  100.000   100 10001 |    0.0037    0.3668 |
  101.000   100 10101 |    0.0037    0.3705 |
  102.000   100 10201 |    0.0037    0.3741 |
  103.000   100 10301 |    0.0037    0.3778 |
  104.000   100 10401 |    0.0037    0.3815 |
  105.000   100 10501 |    0.0037    0.3852 |
  106.000   100 10601 |    0.0038    0.3890 |
  107.000   100 10701 |    0.0037    0.3927 |
  108.000   100 10801 |    0.0037    0.3964 |
  109.000   100 10901 |    0.0037    0.4001 |
  110.000   100 11001 |    0.0037    0.4038 |
  111.000   100 11101 |    0.0037    0.4075 |
  112.000   100 11201 |    0.0037    0.4113 |
  113.000   100 11301 |    0.0037    0.4150 |
  114.000   100 11401 |    0.0038    0.4188 |
  115.000   100 11501 |    0.0037    0.4225 |
  116.000   100 11601 |    0.0037    0.4262 |
  117.000   100 11701 |    0.0038    0.4300 |
  118.000   100 11801 |    0.0037    0.4337 |
  119.000   100 11901 |    0.0038    0.4375 |
  120.000   100 12001 |    0.0038    0.4412 |
  121.000   100 12101 |    0.0037    0.4450 |
  122.000   100 12201 |    0.0038    0.4488 |
  123.000   100 12301 |    0.0037    0.4525 |
  124.000   100 12401 |    0.0038    0.4562 |
  125.000   100 12501 |    0.0037    0.4600 |
  126.000   100 12601 |    0.0037    0.4637 |
  127.000   100 12701 |    0.0038    0.4675 |
  128.000   100 12801 |    0.0038    0.4713 |
  129.000   100 12901 |    0.0037    0.4750 |
  130.000   100 13001 |    0.0038    0.4788 |
  131.000   100 13101 |    0.0038    0.4825 |
  132.000   100 13201 |    0.0038    0.4863 |
  133.000   100 13301 |    0.0038    0.4901 |
  134.000   100 13401 |    0.0038    0.4939 |
  135.000   100 13501 |    0.0038    0.4976 |
  136.000   100 13601 |    0.0038    0.5014 |
  137.000   100 13701 |    0.0037    0.5051 |
  138.000   100 13801 |    0.0038    0.5089 |
  139.000   100 13901 |    0.0038    0.5127 |
  140.000   100 14001 |    0.0038    0.5165 |
  141.000   100 14101 |    0.0037    0.5202 |
  142.000   100 14201 |    0.0038    0.5240 |
  143.000   100 14301 |    0.0038    0.5278 |
  144.000   100 14401 |    0.0038    0.5316 |
  145.000   100 14501 |    0.0038    0.5354 |
  146.000   100 14601 |    0.0038    0.5392 |
  147.000   100 14701 |    0.0038    0.5430 |
  148.000   100 14801 |    0.0038    0.5467 |
  149.000   100 14901 |    0.0038    0.5505 |
  150.000   100 15001 |    0.0038    0.5543 |
  151.000   100 15101 |    0.0038    0.5581 |
  152.000   100 15201 |    0.0038    0.5619 |
  153.000   100 15301 |    0.0038    0.5656 |
  154.000   100 15401 |    0.0038    0.5694 |
  155.000   100 15501 |    0.0038    0.5732 |
  156.000   100 15601 |    0.0038    0.5769 |
  157.000   100 15701 |    0.0038    0.5807 |
  158.000   100 15801 |    0.0038    0.5845 |
  159.000   100 15901 |    0.0038    0.5883 |
  160.000   100 16001 |    0.0039    0.5922 |
  161.000   100 16101 |    0.0038    0.5960 |
  162.000   100 16201 |    0.0038    0.5999 |
  163.000   100 16301 |    0.0038    0.6036 |
  164.000   100 16401 |    0.0038    0.6075 |
  165.000   100 16501 |    0.0038    0.6113 |
  166.000   100 16601 |    0.0038    0.6151 |
  167.000   100 16701 |    0.0038    0.6189 |
  168.000   100 16801 |    0.0039    0.6228 |
  169.000   100 16901 |    0.0038    0.6266 |
  170.000   100 17001 |    0.0038    0.6304 |
  171.000   100 17101 |    0.0038    0.6342 |
  172.000   100 17201 |    0.0038    0.6380 |
  173.000   100 17301 |    0.0038    0.6419 |
  174.000   100 17401 |    0.0039    0.6457 |
  175.000   100 17501 |    0.0038    0.6496 |
  176.000   100 17601 |    0.0038    0.6534 |
  177.000   100 17701 |    0.0038    0.6572 |
  178.000   100 17801 |    0.0038    0.6610 |
  179.000   100 17901 |    0.0038    0.6648 |
  180.000   100 18001 |    0.0039    0.6687 |
  181.000   100 18101 |    0.0039    0.6726 |
  182.000   100 18201 |    0.0038    0.6764 |
  183.000   100 18301 |    0.0038    0.6802 |
  184.000   100 18401 |    0.0038    0.6840 |
  185.000   100 18501 |    0.0039    0.6879 |
  186.000   100 18601 |    0.0038    0.6917 |
  187.000   100 18701 |    0.0038    0.6955 |
  188.000   100 18801 |    0.0038    0.6993 |
