          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0066    0.0066    0.0000 |
    1.000     1     1     1.0    100    100 |  100   101    0.0504    0.0005    0.0005 |
    2.000     1     1     1.0    100    200 |  100   201    0.0500    0.0005    0.0005 |
    3.000     1     1     1.0    100    300 |  100   301    0.0501    0.0005    0.0005 |
    4.000     1     1     1.0    100    400 |  100   401    0.0499    0.0005    0.0005 |
    5.000     1     1     1.0    100    500 |  100   501    0.0502    0.0005    0.0005 |
    6.000     1     1     1.0    100    600 |  100   601    0.0500    0.0005    0.0005 |
    7.000     1     1     1.0    100    700 |  100   701    0.0502    0.0005    0.0005 |
    8.000     1     1     1.0    100    800 |  100   801    0.0501    0.0005    0.0005 |
    9.000     1     1     1.0    100    900 |  100   901    0.0504    0.0005    0.0005 |
   10.000     1     1     1.0    100   1000 |  100  1001    0.0499    0.0005    0.0005 |
   11.000     1     1     1.0    100   1100 |  100  1101    0.0503    0.0005    0.0005 |
   12.000     1     1     1.0    100   1200 |  100  1201    0.0501    0.0005    0.0005 |
   13.000     1     1     1.0    100   1300 |  100  1301    0.0501    0.0005    0.0005 |
   14.000     1     1     1.0    100   1400 |  100  1401    0.0501    0.0005    0.0005 |
   15.000     1     1     1.0    100   1500 |  100  1501    0.0500    0.0005    0.0005 |
   16.000     1     1     1.0    100   1600 |  100  1601    0.0500    0.0005    0.0005 |
   17.000     1     1     1.0    100   1700 |  100  1701    0.0506    0.0005    0.0005 |
   18.000     1     1     1.0    100   1800 |  100  1801    0.0501    0.0005    0.0005 |
   19.000     1     1     1.0    100   1900 |  100  1901    0.0502    0.0005    0.0005 |
   20.000     1     1     1.0    100   2000 |  100  2001    0.0499    0.0005    0.0005 |
   21.000     1     1     1.0    100   2100 |  100  2101    0.0501    0.0005    0.0005 |
   22.000     1     1     1.0    100   2200 |  100  2201    0.0504    0.0005    0.0005 |
   23.000     1     1     1.0    100   2300 |  100  2301    0.0511    0.0005    0.0005 |
   24.000     1     1     1.0    100   2400 |  100  2401    0.0502    0.0005    0.0005 |
   25.000     1     1     1.0    100   2500 |  100  2501    0.0511    0.0005    0.0005 |
   26.000     1     1     1.0    100   2600 |  100  2601    0.0509    0.0005    0.0005 |
   27.000     1     1     1.0    100   2700 |  100  2701    0.0510    0.0005    0.0005 |
   28.000     1     1     1.0    100   2800 |  100  2801    0.0508    0.0005    0.0005 |
   29.000     1     1     1.0    100   2900 |  100  2901    0.0510    0.0005    0.0005 |
   30.000     1     1     1.0    100   3000 |  100  3001    0.0502    0.0005    0.0005 |
   31.000     1     1     1.0    100   3100 |  100  3101    0.0506    0.0005    0.0005 |
   32.000     1     1     1.0    100   3200 |  100  3201    0.0505    0.0005    0.0005 |
   33.000     1     1     1.0    100   3300 |  100  3301    0.0502    0.0005    0.0005 |
   34.000     1     1     1.0    100   3400 |  100  3401    0.0504    0.0005    0.0005 |
   35.000     1     1     1.0    100   3500 |  100  3501    0.0524    0.0005    0.0005 |
   36.000     1     1     1.0    100   3600 |  100  3601    0.0532    0.0005    0.0005 |
   37.000     1     1     1.0    100   3700 |  100  3701    0.0537    0.0005    0.0005 |
   38.000     1     1     1.0    100   3800 |  100  3801    0.0531    0.0005    0.0005 |
   39.000     1     1     1.0    100   3900 |  100  3901    0.0533    0.0005    0.0005 |
   40.000     1     1     1.0    100   4000 |  100  4001    0.0536    0.0005    0.0005 |
   41.000     1     1     1.0    100   4100 |  100  4101    0.0531    0.0005    0.0005 |
   42.000     1     1     1.0    100   4200 |  100  4201    0.0524    0.0005    0.0005 |
   43.000     1     1     1.0    100   4300 |  100  4301    0.0532    0.0005    0.0005 |
   44.000     1     1     1.0    100   4400 |  100  4401    0.0518    0.0005    0.0005 |
   45.000     1     1     1.0    100   4500 |  100  4501    0.0510    0.0005    0.0005 |
