          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0049    0.0049 |
    1.000     1     2 |    0.0002    0.0052 |
    2.000     1     3 |    0.0002    0.0054 |
    3.000     1     4 |    0.0002    0.0055 |
    4.000     1     5 |    0.0002    0.0057 |
    5.000     1     6 |    0.0002    0.0059 |
    6.000     1     7 |    0.0002    0.0061 |
    7.000     1     8 |    0.0002    0.0063 |
    8.000     1     9 |    0.0002    0.0064 |
    9.000     1    10 |    0.0002    0.0066 |
   10.000     1    11 |    0.0002    0.0068 |
   11.000     1    12 |    0.0002    0.0070 |
   12.000     1    13 |    0.0002    0.0072 |
   13.000     1    14 |    0.0002    0.0074 |
   14.000     1    15 |    0.0002    0.0076 |
   15.000     1    16 |    0.0002    0.0078 |
   16.000     1    17 |    0.0006    0.0084 |
   17.000     1    18 |    0.0002    0.0085 |
   18.000     1    19 |    0.0002    0.0087 |
   19.000     1    20 |    0.0002    0.0089 |
   20.000     1    21 |    0.0002    0.0091 |
   21.000     1    22 |    0.0002    0.0093 |
   22.000     1    23 |    0.0002    0.0095 |
   23.000     1    24 |    0.0002    0.0097 |
   24.000     1    25 |    0.0003    0.0099 |
   25.000     1    26 |    0.0002    0.0101 |
   26.000     1    27 |    0.0002    0.0103 |
   27.000     1    28 |    0.0002    0.0105 |
   28.000     1    29 |    0.0002    0.0107 |
   29.000     1    30 |    0.0002    0.0109 |
   30.000     1    31 |    0.0002    0.0111 |
   31.000     1    32 |    0.0002    0.0112 |
   32.000     1    33 |    0.0002    0.0114 |
   33.000     1    34 |    0.0002    0.0116 |
   34.000     1    35 |    0.0002    0.0117 |
   35.000     1    36 |    0.0002    0.0119 |
   36.000     1    37 |    0.0002    0.0121 |
   37.000     1    38 |    0.0002    0.0123 |
   38.000     1    39 |    0.0002    0.0124 |
   39.000     1    40 |    0.0002    0.0126 |
   40.000     1    41 |    0.0002    0.0128 |
   41.000     1    42 |    0.0002    0.0129 |
   42.000     1    43 |    0.0002    0.0131 |
   43.000     1    44 |    0.0002    0.0133 |
   44.000     1    45 |    0.0003    0.0136 |
   45.000     1    46 |    0.0002    0.0138 |
   46.000     1    47 |    0.0002    0.0140 |
   47.000     1    48 |    0.0002    0.0142 |
   48.000     1    49 |    0.0002    0.0144 |
   49.000     1    50 |    0.0002    0.0146 |
   50.000     1    51 |    0.0002    0.0148 |
   51.000     1    52 |    0.0002    0.0150 |
   52.000     1    53 |    0.0002    0.0151 |
   53.000     1    54 |    0.0002    0.0153 |
   54.000     1    55 |    0.0002    0.0155 |
   55.000     1    56 |    0.0002    0.0157 |
   56.000     1    57 |    0.0002    0.0158 |
   57.000     1    58 |    0.0002    0.0160 |
   58.000     1    59 |    0.0002    0.0162 |
   59.000     1    60 |    0.0002    0.0164 |
   60.000     1    61 |    0.0002    0.0166 |
   61.000     1    62 |    0.0002    0.0167 |
   62.000     1    63 |    0.0002    0.0169 |
   63.000     1    64 |    0.0002    0.0171 |
   64.000     1    65 |    0.0002    0.0173 |
   65.000     1    66 |    0.0002    0.0175 |
   66.000     1    67 |    0.0002    0.0177 |
   67.000     1    68 |    0.0002    0.0179 |
   68.000     1    69 |    0.0002    0.0181 |
   69.000     1    70 |    0.0002    0.0182 |
   70.000     1    71 |    0.0002    0.0184 |
   71.000     1    72 |    0.0002    0.0186 |
   72.000     1    73 |    0.0002    0.0188 |
   73.000     1    74 |    0.0011    0.0199 |
   74.000     1    75 |    0.0002    0.0201 |
   75.000     1    76 |    0.0002    0.0203 |
   76.000     1    77 |    0.0002    0.0205 |
   77.000     1    78 |    0.0002    0.0206 |
   78.000     1    79 |    0.0002    0.0208 |
   79.000     1    80 |    0.0002    0.0210 |
   80.000     1    81 |    0.0002    0.0212 |
   81.000     1    82 |    0.0002    0.0214 |
   82.000     1    83 |    0.0002    0.0216 |
   83.000     1    84 |    0.0002    0.0218 |
   84.000     1    85 |    0.0002    0.0220 |
   85.000     1    86 |    0.0002    0.0222 |
   86.000     1    87 |    0.0003    0.0225 |
   87.000     1    88 |    0.0002    0.0227 |
   88.000     1    89 |    0.0002    0.0229 |
   89.000     1    90 |    0.0011    0.0240 |
   90.000     1    91 |    0.0002    0.0242 |
   91.000     1    92 |    0.0002    0.0244 |
   92.000     1    93 |    0.0002    0.0245 |
   93.000     1    94 |    0.0002    0.0247 |
   94.000     1    95 |    0.0002    0.0249 |
   95.000     1    96 |    0.0002    0.0251 |
   96.000     1    97 |    0.0002    0.0252 |
   97.000     1    98 |    0.0002    0.0254 |
   98.000     1    99 |    0.0002    0.0256 |
   99.000     1   100 |    0.0002    0.0258 |
  100.000     1   101 |    0.0002    0.0260 |
  101.000     1   102 |    0.0002    0.0261 |
  102.000     1   103 |    0.0002    0.0263 |
  103.000     1   104 |    0.0002    0.0265 |
  104.000     1   105 |    0.0002    0.0267 |
  105.000     1   106 |    0.0002    0.0269 |
  106.000     1   107 |    0.0002    0.0271 |
  107.000     1   108 |    0.0003    0.0274 |
  108.000     1   109 |    0.0002    0.0276 |
  109.000     1   110 |    0.0002    0.0277 |
  110.000     1   111 |    0.0002    0.0279 |
  111.000     1   112 |    0.0002    0.0281 |
  112.000     1   113 |    0.0002    0.0283 |
  113.000     1   114 |    0.0003    0.0286 |
  114.000     1   115 |    0.0002    0.0288 |
  115.000     1   116 |    0.0002    0.0290 |
  116.000     1   117 |    0.0002    0.0292 |
  117.000     1   118 |    0.0002    0.0294 |
  118.000     1   119 |    0.0003    0.0297 |
  119.000     1   120 |    0.0002    0.0298 |
  120.000     1   121 |    0.0002    0.0300 |
  121.000     1   122 |    0.0002    0.0302 |
  122.000     1   123 |    0.0002    0.0304 |
  123.000     1   124 |    0.0002    0.0306 |
  124.000     1   125 |    0.0002    0.0308 |
  125.000     1   126 |    0.0002    0.0310 |
  126.000     1   127 |    0.0002    0.0311 |
  127.000     1   128 |    0.0002    0.0313 |
  128.000     1   129 |    0.0002    0.0315 |
  129.000     1   130 |    0.0011    0.0326 |
  130.000     1   131 |    0.0002    0.0328 |
  131.000     1   132 |    0.0002    0.0330 |
  132.000     1   133 |    0.0002    0.0331 |
  133.000     1   134 |    0.0002    0.0333 |
  134.000     1   135 |    0.0002    0.0335 |
  135.000     1   136 |    0.0002    0.0337 |
  136.000     1   137 |    0.0002    0.0338 |
  137.000     1   138 |    0.0010    0.0349 |
  138.000     1   139 |    0.0002    0.0350 |
  139.000     1   140 |    0.0002    0.0352 |
  140.000     1   141 |    0.0002    0.0354 |
  141.000     1   142 |    0.0002    0.0356 |
  142.000     1   143 |    0.0002    0.0358 |
  143.000     1   144 |    0.0002    0.0359 |
  144.000     1   145 |    0.0002    0.0361 |
  145.000     1   146 |    0.0003    0.0365 |
  146.000     1   147 |    0.0002    0.0367 |
  147.000     1   148 |    0.0002    0.0369 |
  148.000     1   149 |    0.0002    0.0371 |
  149.000     1   150 |    0.0002    0.0372 |
  150.000     1   151 |    0.0002    0.0374 |
  151.000     1   152 |    0.0002    0.0376 |
  152.000     1   153 |    0.0002    0.0378 |
  153.000     1   154 |    0.0002    0.0380 |
  154.000     1   155 |    0.0002    0.0382 |
  155.000     1   156 |    0.0002    0.0384 |
  156.000     1   157 |    0.0002    0.0386 |
  157.000     1   158 |    0.0002    0.0388 |
  158.000     1   159 |    0.0002    0.0390 |
  159.000     1   160 |    0.0002    0.0392 |
