          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0003    0.0003 |
    1.000  1000  1001 |    0.0350    0.0353 |
    2.000  1000  2001 |    0.0348    0.0701 |
    3.000  1000  3001 |    0.0349    0.1050 |
    4.000  1000  4001 |    0.0348    0.1398 |
    5.000  1000  5001 |    0.0347    0.1745 |
    6.000  1000  6001 |    0.0348    0.2094 |
    7.000  1000  7001 |    0.0350    0.2443 |
    8.000  1000  8001 |    0.0349    0.2792 |
    9.000  1000  9001 |    0.0352    0.3143 |
   10.000  1000 10001 |    0.0348    0.3492 |
   11.000  1000 11001 |    0.0348    0.3840 |
   12.000  1000 12001 |    0.0348    0.4188 |
   13.000  1000 13001 |    0.0350    0.4538 |
   14.000  1000 14001 |    0.0424    0.4962 |
   15.000  1000 15001 |    0.0349    0.5311 |
   16.000  1000 16001 |    0.0349    0.5660 |
   17.000  1000 17001 |    0.0350    0.6010 |
   18.000  1000 18001 |    0.0349    0.6359 |
   19.000  1000 19001 |    0.0349    0.6707 |
   20.000  1000 20001 |    0.0348    0.7056 |
   21.000  1000 21001 |    0.0351    0.7406 |
   22.000  1000 22001 |    0.0349    0.7756 |
   23.000  1000 23001 |    0.0349    0.8105 |
   24.000  1000 24001 |    0.0349    0.8455 |
   25.000  1000 25001 |    0.0350    0.8805 |
   26.000  1000 26001 |    0.0350    0.9155 |
   27.000  1000 27001 |    0.0368    0.9523 |
   28.000  1000 28001 |    0.0378    0.9901 |
   29.000  1000 29001 |    0.0359    1.0260 |
   30.000  1000 30001 |    0.0356    1.0616 |
   31.000  1000 31001 |    0.0350    1.0966 |
   32.000  1000 32001 |    0.0350    1.1316 |
   33.000  1000 33001 |    0.0350    1.1666 |
   34.000  1000 34001 |    0.0351    1.2017 |
   35.000  1000 35001 |    0.0351    1.2368 |
   36.000  1000 36001 |    0.0351    1.2719 |
   37.000  1000 37001 |    0.0351    1.3070 |
   38.000  1000 38001 |    0.0352    1.3422 |
   39.000  1000 39001 |    0.0352    1.3773 |
   40.000  1000 40001 |    0.0351    1.4124 |
   41.000  1000 41001 |    0.0351    1.4475 |
   42.000  1000 42001 |    0.0356    1.4831 |
   43.000  1000 43001 |    0.0352    1.5183 |
   44.000  1000 44001 |    0.0356    1.5538 |
   45.000  1000 45001 |    0.0368    1.5907 |
   46.000  1000 46001 |    0.0353    1.6260 |
   47.000  1000 47001 |    0.0353    1.6613 |
   48.000  1000 48001 |    0.0351    1.6964 |
   49.000  1000 49001 |    0.0351    1.7316 |
   50.000  1000 50001 |    0.0352    1.7667 |
   51.000  1000 51001 |    0.0353    1.8020 |
   52.000  1000 52001 |    0.0359    1.8379 |
   53.000  1000 53001 |    0.0357    1.8737 |
   54.000  1000 54001 |    0.0355    1.9091 |
   55.000  1000 55001 |    0.0355    1.9446 |
   56.000  1000 56001 |    0.0358    1.9804 |
   57.000  1000 57001 |    0.0356    2.0160 |
   58.000  1000 58001 |    0.0352    2.0512 |
   59.000  1000 59001 |    0.0359    2.0871 |
   60.000  1000 60001 |    0.0357    2.1228 |
   61.000  1000 61001 |    0.0359    2.1587 |
   62.000  1000 62001 |    0.0353    2.1940 |
   63.000  1000 63001 |    0.0357    2.2297 |
   64.000  1000 64001 |    0.0359    2.2655 |
   65.000  1000 65001 |    0.0358    2.3013 |
   66.000  1000 66001 |    0.0354    2.3367 |
   67.000  1000 67001 |    0.0354    2.3721 |
   68.000  1000 68001 |    0.0361    2.4082 |
   69.000  1000 69001 |    0.0354    2.4436 |
   70.000  1000 70001 |    0.0357    2.4793 |
   71.000  1000 71001 |    0.0358    2.5151 |
   72.000  1000 72001 |    0.0360    2.5511 |
   73.000  1000 73001 |    0.0359    2.5869 |
   74.000  1000 74001 |    0.0355    2.6224 |
   75.000  1000 75001 |    0.0357    2.6581 |
   76.000  1000 76001 |    0.0361    2.6942 |
   77.000  1000 77001 |    0.0359    2.7301 |
   78.000  1000 78001 |    0.0356    2.7656 |
   79.000  1000 79001 |    0.0354    2.8011 |
   80.000  1000 80001 |    0.0354    2.8364 |
   81.000  1000 81001 |    0.0357    2.8722 |
   82.000  1000 82001 |    0.0356    2.9078 |
   83.000  1000 83001 |    0.0356    2.9433 |
   84.000  1000 84001 |    0.0357    2.9790 |
   85.000  1000 85001 |    0.0360    3.0150 |
   86.000  1000 86001 |    0.0364    3.0514 |
   87.000  1000 87001 |    0.0356    3.0870 |
   88.000  1000 88001 |    0.0360    3.1230 |
   89.000  1000 89001 |    0.0356    3.1587 |
   90.000  1000 90001 |    0.0360    3.1947 |
   91.000  1000 91001 |    0.0360    3.2307 |
   92.000  1000 92001 |    0.0358    3.2665 |
   93.000  1000 93001 |    0.0360    3.3025 |
   94.000  1000 94001 |    0.0362    3.3387 |
   95.000  1000 95001 |    0.0360    3.3748 |
   96.000  1000 96001 |    0.0359    3.4107 |
   97.000  1000 97001 |    0.0358    3.4465 |
   98.000  1000 98001 |    0.0361    3.4826 |
   99.000  1000 99001 |    0.0361    3.5188 |
  100.000  1000 100001 |    0.0364    3.5552 |
  101.000  1000 101001 |    0.0361    3.5913 |
  102.000  1000 102001 |    0.0363    3.6276 |
  103.000  1000 103001 |    0.0363    3.6639 |
  104.000  1000 104001 |    0.0361    3.6999 |
  105.000  1000 105001 |    0.0360    3.7360 |
  106.000  1000 106001 |    0.0363    3.7723 |
  107.000  1000 107001 |    0.0434    3.8157 |
  108.000  1000 108001 |    0.0362    3.8520 |
  109.000  1000 109001 |    0.0362    3.8881 |
  110.000  1000 110001 |    0.0362    3.9243 |
  111.000  1000 111001 |    0.0364    3.9606 |
  112.000  1000 112001 |    0.0362    3.9968 |
  113.000  1000 113001 |    0.0362    4.0330 |
  114.000  1000 114001 |    0.0362    4.0692 |
  115.000  1000 115001 |    0.0364    4.1056 |
  116.000  1000 116001 |    0.0364    4.1419 |
  117.000  1000 117001 |    0.0363    4.1783 |
  118.000  1000 118001 |    0.0365    4.2148 |
  119.000  1000 119001 |    0.0367    4.2515 |
  120.000  1000 120001 |    0.0364    4.2879 |
  121.000  1000 121001 |    0.0364    4.3243 |
  122.000  1000 122001 |    0.0363    4.3606 |
  123.000  1000 123001 |    0.0363    4.3969 |
  124.000  1000 124001 |    0.0364    4.4333 |
  125.000  1000 125001 |    0.0365    4.4698 |
  126.000  1000 126001 |    0.0363    4.5061 |
  127.000  1000 127001 |    0.0363    4.5424 |
  128.000  1000 128001 |    0.0365    4.5790 |
  129.000  1000 129001 |    0.0365    4.6154 |
  130.000  1000 130001 |    0.0364    4.6518 |
  131.000  1000 131001 |    0.0362    4.6881 |
  132.000  1000 132001 |    0.0365    4.7245 |
  133.000  1000 133001 |    0.0365    4.7611 |
  134.000  1000 134001 |    0.0364    4.7975 |
  135.000  1000 135001 |    0.0363    4.8338 |
  136.000  1000 136001 |    0.0364    4.8701 |
  137.000  1000 137001 |    0.0366    4.9067 |
  138.000  1000 138001 |    0.0364    4.9431 |
  139.000  1000 139001 |    0.0363    4.9794 |
  140.000  1000 140001 |    0.0364    5.0158 |
  141.000  1000 141001 |    0.0365    5.0523 |
  142.000  1000 142001 |    0.0365    5.0888 |
  143.000  1000 143001 |    0.0364    5.1252 |
  144.000  1000 144001 |    0.0363    5.1615 |
  145.000  1000 145001 |    0.0364    5.1980 |
  146.000  1000 146001 |    0.0365    5.2345 |
  147.000  1000 147001 |    0.0365    5.2710 |
  148.000  1000 148001 |    0.0364    5.3074 |
  149.000  1000 149001 |    0.0366    5.3440 |
  150.000  1000 150001 |    0.0366    5.3806 |
  151.000  1000 151001 |    0.0366    5.4171 |
  152.000  1000 152001 |    0.0364    5.4535 |
  153.000  1000 153001 |    0.0365    5.4901 |
  154.000  1000 154001 |    0.0366    5.5267 |
  155.000  1000 155001 |    0.0366    5.5632 |
  156.000  1000 156001 |    0.0365    5.5998 |
  157.000  1000 157001 |    0.0365    5.6362 |
  158.000  1000 158001 |    0.0367    5.6729 |
  159.000  1000 159001 |    0.0366    5.7095 |
  160.000  1000 160001 |    0.0366    5.7461 |
  161.000  1000 161001 |    0.0365    5.7826 |
  162.000  1000 162001 |    0.0367    5.8193 |
  163.000  1000 163001 |    0.0367    5.8560 |
  164.000  1000 164001 |    0.0367    5.8928 |
  165.000  1000 165001 |    0.0366    5.9294 |
  166.000  1000 166001 |    0.0367    5.9661 |
  167.000  1000 167001 |    0.0368    6.0029 |
  168.000  1000 168001 |    0.0368    6.0397 |
  169.000  1000 169001 |    0.0367    6.0765 |
  170.000  1000 170001 |    0.0366    6.1130 |
  171.000  1000 171001 |    0.0395    6.1525 |
  172.000  1000 172001 |    0.0429    6.1954 |
  173.000  1000 173001 |    0.0441    6.2396 |
  174.000  1000 174001 |    0.0376    6.2772 |
  175.000  1000 175001 |    0.0372    6.3144 |
  176.000  1000 176001 |    0.0369    6.3513 |
  177.000  1000 177001 |    0.0371    6.3884 |
  178.000  1000 178001 |    0.0370    6.4254 |
  179.000  1000 179001 |    0.0372    6.4626 |
  180.000  1000 180001 |    0.0369    6.4995 |
