          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0056    0.0056    0.0000 |
    1.000     1     1     1.0   1000   1000 | 1000  1001    0.5008    0.0005    0.0005 |
    2.000     1     1     1.0   1000   2000 | 1000  2001    0.5005    0.0005    0.0005 |
    3.000     1     1     1.0   1000   3000 | 1000  3001    0.4999    0.0005    0.0005 |
    4.000     1     1     1.0   1000   4000 | 1000  4001    0.5007    0.0005    0.0005 |
    5.000     1     1     1.0   1000   5000 | 1000  5001    0.5008    0.0005    0.0005 |
    6.000     1     1     1.0   1000   6000 | 1000  6001    0.5000    0.0005    0.0005 |
    7.000     1     1     1.0   1000   7000 | 1000  7001    0.5025    0.0005    0.0005 |
    8.000     1     1     1.0   1000   8000 | 1000  8001    0.5009    0.0005    0.0005 |
    9.000     1     1     1.0   1000   9000 | 1000  9001    0.5041    0.0005    0.0005 |
   10.000     1     1     1.0   1000  10000 | 1000 10001    0.5008    0.0005    0.0005 |
   11.000     1     1     1.0   1000  11000 | 1000 11001    0.5010    0.0005    0.0005 |
   12.000     1     1     1.0   1000  12000 | 1000 12001    0.5006    0.0005    0.0005 |
   13.000     1     1     1.0   1000  13000 | 1000 13001    0.5002    0.0005    0.0005 |
   14.000     1     1     1.0   1000  14000 | 1000 14001    0.5536    0.0006    0.0006 |
   15.000     1     1     1.0   1000  15000 | 1000 15001    0.5012    0.0005    0.0005 |
   16.000     1     1     1.0   1000  16000 | 1000 16001    0.5000    0.0005    0.0005 |
   17.000     1     1     1.0   1000  17000 | 1000 17001    0.4999    0.0005    0.0005 |
   18.000     1     1     1.0   1000  18000 | 1000 18001    0.5005    0.0005    0.0005 |
   19.000     1     1     1.0   1000  19000 | 1000 19001    0.5004    0.0005    0.0005 |
   20.000     1     1     1.0   1000  20000 | 1000 20001    0.5004    0.0005    0.0005 |
   21.000     1     1     1.0   1000  21000 | 1000 21001    0.5002    0.0005    0.0005 |
   22.000     1     1     1.0   1000  22000 | 1000 22001    0.5006    0.0005    0.0005 |
   23.000     1     1     1.0   1000  23000 | 1000 23001    0.4997    0.0005    0.0005 |
   24.000     1     1     1.0   1000  24000 | 1000 24001    0.5010    0.0005    0.0005 |
   25.000     1     1     1.0   1000  25000 | 1000 25001    0.5003    0.0005    0.0005 |
   26.000     1     1     1.0   1000  26000 | 1000 26001    0.4998    0.0005    0.0005 |
   27.000     1     1     1.0   1000  27000 | 1000 27001    0.5153    0.0005    0.0005 |
   28.000     1     1     1.0   1000  28000 | 1000 28001    0.5142    0.0005    0.0005 |
   29.000     1     1     1.0   1000  29000 | 1000 29001    0.5109    0.0005    0.0005 |
   30.000     1     1     1.0   1000  30000 | 1000 30001    0.5046    0.0005    0.0005 |
   31.000     1     1     1.0   1000  31000 | 1000 31001    0.5007    0.0005    0.0005 |
   32.000     1     1     1.0   1000  32000 | 1000 32001    0.5001    0.0005    0.0005 |
   33.000     1     1     1.0   1000  33000 | 1000 33001    0.5010    0.0005    0.0005 |
   34.000     1     1     1.0   1000  34000 | 1000 34001    0.4997    0.0005    0.0005 |
   35.000     1     1     1.0   1000  35000 | 1000 35001    0.5000    0.0005    0.0005 |
   36.000     1     1     1.0   1000  36000 | 1000 36001    0.5002    0.0005    0.0005 |
   37.000     1     1     1.0   1000  37000 | 1000 37001    0.5011    0.0005    0.0005 |
   38.000     1     1     1.0   1000  38000 | 1000 38001    0.5012    0.0005    0.0005 |
   39.000     1     1     1.0   1000  39000 | 1000 39001    0.5004    0.0005    0.0005 |
   40.000     1     1     1.0   1000  40000 | 1000 40001    0.5000    0.0005    0.0005 |
   41.000     1     1     1.0   1000  41000 | 1000 41001    0.5002    0.0005    0.0005 |
